area	year	production	area_harvested
Philippines	1986	9.2	3.4
Philippines	1985	8.8	3.4
Philippines	1984	7.8	3.2
Philippines	1983	7.3	3.1
Philippines	1982	8.5	3.2
Philippines	1981	7.9	3.4
Philippines	1980	7.6	3.5
Philippines	1979	7.7	3.6
Philippines	1978	7.2	3.6
Philippines	1977	7.3	3.6
Philippines	1976	6.5	3.6
Philippines	1975	6.1	3.7
Philippines	1974	5.6	3.6
Philippines	1973	5.2	3.5
Philippines	1972	4.6	3.2
Philippines	1971	5.3	3.3
Philippines	1970	5.6	3.2
Philippines	1969	5.5	3.2
Philippines	1968	4.4	3.3
Philippines	1967	4.6	3.3
Philippines	1966	4.1	3.1
Philippines	1965	4.1	3.1
Philippines	1964	4.0	3.2
Philippines	1963	3.8	3.1
Philippines	1962	4.0	3.2
Philippines	1961	3.9	3.2
Thái Lan	2021	33.6	11.2
Thái Lan	2020	30.2	10.4
Thái Lan	2019	28.6	9.8
Thái Lan	2018	32.3	10.6
Thái Lan	2017	32.9	10.7
Thái Lan	2015	27.7	9.7
Thái Lan	2014	32.6	10.7
Thái Lan	2013	36.8	11.7
Thái Lan	2012	38.1	12.0
Thái Lan	2011	38.1	12.0
Thái Lan	2010	35.7	11.9
Thái Lan	2009	32.4	11.1
Thái Lan	2008	32.0	10.7
Thái Lan	2007	32.5	10.7
Thái Lan	2006	30.0	10.2
Thái Lan	2005	30.6	10.2
Thái Lan	2004	28.9	10.0
Thái Lan	2003	29.8	10.2
Thái Lan	2002	28.3	9.7
Thái Lan	2001	29.1	10.1
Thái Lan	2000	25.8	9.9
Thái Lan	1999	24.2	10.0
Thái Lan	1998	23.0	9.5
Thái Lan	1997	23.6	9.9
Thái Lan	1996	22.3	9.3
Thái Lan	1995	22.0	9.1
Thái Lan	1994	21.1	9.0
Thái Lan	1992	19.9	9.2
Thái Lan	1991	20.4	9.1
Thái Lan	1990	17.2	8.8
Thái Lan	1989	20.6	9.9
Thái Lan	1988	21.3	9.9
Thái Lan	1987	18.4	9.1
Thái Lan	1986	18.9	9.2
Thái Lan	1985	20.3	9.8
Thái Lan	1984	19.9	9.6
Thái Lan	1983	19.5	9.6
Thái Lan	1982	16.9	8.9
Thái Lan	1981	17.8	9.1
Thái Lan	1980	17.4	9.2
Thái Lan	1979	15.8	8.7
Thái Lan	1978	17.5	8.9
Thái Lan	1977	13.9	8.8
Thái Lan	1976	15.1	8.2
Thái Lan	1975	15.3	8.4
Thái Lan	1974	13.4	7.3
Thái Lan	1973	14.9	7.7
Thái Lan	1972	12.4	6.8
Thái Lan	1971	13.7	7.1
Thái Lan	1970	13.9	6.9
Thái Lan	1969	13.4	7.3
Thái Lan	1968	12.4	6.9
Thái Lan	1967	11.2	6.4
Thái Lan	1966	13.5	7.4
Việt Nam	2021	43.9	7.2
Việt Nam	2020	42.8	7.2
Việt Nam	2019	43.5	7.5
Việt Nam	2018	44.0	7.6
Việt Nam	2017	42.8	7.7
Việt Nam	2016	43.1	7.7
Việt Nam	2015	45.1	7.8
Việt Nam	2014	45.0	7.8
Việt Nam	2013	44.0	7.9
Việt Nam	2012	43.7	7.8
Việt Nam	2011	42.4	7.7
Việt Nam	2010	40.0	7.5
Việt Nam	2009	39.0	7.4
Việt Nam	2008	38.7	7.4
Việt Nam	2007	35.9	7.2
Việt Nam	2006	35.8	7.3
Việt Nam	2005	35.8	7.3
Việt Nam	2004	36.1	7.4
Việt Nam	2003	34.6	7.5
Việt Nam	2002	34.4	7.5
Việt Nam	2001	32.1	7.5
Việt Nam	2000	32.5	7.7
Việt Nam	1999	31.4	7.7
Việt Nam	1998	29.4	7.4
Việt Nam	1997	27.5	7.1
Việt Nam	1996	26.4	7.0
Việt Nam	1995	25.0	6.8
Việt Nam	1994	23.5	6.6
Việt Nam	1993	22.8	6.6
Việt Nam	1992	21.6	6.5
Việt Nam	1991	19.6	6.3
Việt Nam	1990	19.2	6.0
Việt Nam	1989	19.0	5.9
Việt Nam	1988	17.0	5.7
Việt Nam	1987	15.1	5.6
Việt Nam	1986	16.0	5.7
Việt Nam	1985	15.9	5.7
Việt Nam	1984	15.5	5.7
Việt Nam	1983	14.7	5.6
Việt Nam	1982	14.4	5.7
Việt Nam	1981	12.4	5.7
Việt Nam	1980	11.6	5.6
Việt Nam	1979	11.4	5.5
Việt Nam	1978	9.8	5.5
Việt Nam	1977	10.6	5.5
Việt Nam	1976	11.8	5.3
Việt Nam	1975	10.3	4.9
Việt Nam	1974	11.0	5.1
Việt Nam	1973	11.1	5.0
Việt Nam	1972	10.7	4.9
Việt Nam	1971	10.4	4.7
Việt Nam	1970	10.2	4.7
Việt Nam	1969	8.8	4.9
Việt Nam	1968	8.4	4.9
Việt Nam	1967	9.2	4.8
Việt Nam	1966	8.5	4.7
Việt Nam	1965	9.4	4.8
Việt Nam	1964	9.7	5.0
Việt Nam	1963	9.6	4.5
Việt Nam	1962	9.7	4.9
Việt Nam	1961	9.0	4.7
